Date,PRICE_BEEF,PRICE_PORK,PRICE_POULTRY,PRICE_CORN,PRICE_WHEAT
1-Oct-96,81.424,76.592,65.685,128.609,169.596
1-Nov-96,82.171,75.741,65.833,117.137,169.266
1-Dec-96,83.012,76.515,65.19,116.835,167.831
1-Jan-97,81.477,74.602,64.205,118.695,167.791
1-Feb-97,85.329,72.482,62.538,121.746,164.171
1-Mar-97,93.363,68.963,61.821,127.861,167.709
1-Apr-97,90.989,76.856,61.295,124.713,175.568
1-May-97,86.5,81.516,60.886,118.611,168.403
1-Jun-97,80.107,83.174,60.886,112.581,141.201
1-Jul-97,81.727,83.14,61.303,106.421,130.408
1-Aug-97,82.821,77.406,62.708,111.951,139.346
1-Sep-97,80.47,70.659,63.051,112.237,138.24
1-Oct-97,79.717,65.954,59.625,120.244,136.207
1-Nov-97,83.236,63.029,57.563,117.405,135.382
1-Dec-97,84.284,56.521,55.982,113.604,129.729
1-Jan-98,82.869,50.559,55.5,114.367,127.35
1-Feb-98,82.088,50.383,55.813,113.619,128.309
1-Mar-98,81.682,50.245,56.917,113.84,128.235
1-Apr-98,81.738,50.748,57.615,106.688,118.198
1-May-98,80.4,61.334,59.077,105.967,118.35
1-Jun-98,77.477,60.449,62.538,101.752,112.369
1-Jul-98,75.938,52.336,67.339,100.904,106.621
1-Aug-98,76.119,49.06,70.846,88.358,97.003
1-Sep-98,75.048,40.931,71.058,85.714,97.571
1-Oct-98,74.262,38.586,69.154,95.495,112.156
1-Nov-98,75.574,23.678,67.096,97.385,115.611
1-Dec-98,76.347,19.098,64.896,95.325,111.805
1-Jan-99,77.6,34.858,62.932,97.452,111.893
1-Feb-99,81.825,37.341,61.25,94.564,104.279
1-Mar-99,81.5,35.077,59,96.426,104.576
1-Apr-99,79.111,39.449,57.708,94.038,102.331
1-May-99,79.85,48.752,59.6,92.717,99.61
1-Jun-99,79.935,45.916,60.958,92.947,99.943
1-Jul-99,81.595,44.329,61.125,83.598,93.014
1-Aug-99,88.33,53.255,60.409,86.382,98.022
1-Sep-99,86.477,48.699,60.923,87.121,94.799
1-Oct-99,84.643,46.59,58.673,85.65,88.552
1-Nov-99,87.931,47.655,58.5,85.409,91.675
1-Dec-99,88.875,50.945,58.5,87.223,90.437
1-Jan-00,88.2,51.609,58.231,92.953,93.623
1-Feb-00,89.05,54.909,57.625,95.082,98.167
1-Mar-00,90.46,57.76,57.25,95.169,96.396
1-Apr-00,90.05,66.947,57.25,95.539,94.431
1-May-00,90.9,69.161,57.763,95.531,99.112
1-Jun-00,88.057,69.498,59.116,84.04,103.367
1-Jul-00,86.929,66.588,59.762,75.057,97.126
1-Aug-00,86.391,59.486,60.174,75.241,96.652
1-Sep-00,82.692,57.16,61.702,80.151,103.442
1-Oct-00,82.875,54.885,61.526,84.707,107.776
1-Nov-00,89.716,48.682,61.5,88.937,105.037
1-Dec-00,88.15,54.756,61.5,96.224,113.74
1-Jan-01,87.807,50.384,61.538,94.297,109.479
1-Feb-01,87.563,53.797,61.771,92.378,103.323
1-Mar-01,91.058,63.112,62,91.012,105.571
1-Apr-01,90.113,64.634,62.058,87.545,106.154
1-May-01,91.489,70.614,63.038,85.078,110.774
1-Jun-01,94.452,72.918,63.538,83.161,109.426
1-Jul-01,98.455,72.973,64.269,90.755,108.344
1-Aug-01,101.804,71.536,65.583,92.879,104.224
1-Sep-01,107.25,63.93,66.479,89.744,103.176
1-Oct-01,103.391,57.292,65.696,86.268,104.831
1-Nov-01,104.275,48.6,64.327,89.883,106.802
1-Dec-01,100.833,47.412,63.229,92.312,104.37
1-Jan-02,101.045,54.265,62.942,91.967,106.189
1-Feb-02,102.95,55.141,62.917,90.728,103.838
1-Mar-02,109.025,50.804,62.729,89.858,102.552
1-Apr-02,103.739,44.783,62.5,87.107,104.803
1-May-02,96.467,46.978,63.346,90.331,104.096
1-Jun-02,93.895,50.415,63.795,93.17,115.412
1-Jul-02,96.905,54.87,64.214,99.7,132.645
1-Aug-02,95.727,46.113,64.114,109.891,149.614
1-Sep-02,92.563,36.661,64.036,113.941,173.343
1-Oct-02,86.967,42.812,63,109.647,180.044
1-Nov-02,81.563,40.602,61.905,108.646,164.279
1-Dec-02,84,43.672,61.489,107.013,149.196
1-Jan-03,85.35,46.584,62.254,105.844,140.483
1-Feb-03,83.75,48.164,63.063,106.141,141.657
1-Mar-03,83.875,48.839,63.841,105.132,129.246
1-Apr-03,82.625,49.207,63.538,105.338,126.048
1-May-03,79.3,58.993,64.481,107.906,131.052
1-Jun-03,78.25,64.806,65.877,107.025,118.157
1-Jul-03,81,60.9,67.388,97.671,115.776
1-Aug-03,91.125,56.688,68.512,100.35,133.484
1-Sep-03,97,56.651,69.206,103.238,130.65
1-Oct-03,98.4,52.538,68.576,104.206,130.057
1-Nov-03,110.75,48.691,68.385,108.1,141.347
1-Dec-03,105.4,48.681,68.982,111.992,145.067
1-Jan-04,107.06,52.943,69.606,116.246,147.29
1-Feb-04,99.5,61.029,71.625,122.932,141.734
1-Mar-04,97.25,65.35,73.087,128.46,142.549
1-Apr-04,102.1,65.285,74.727,133.439,146.065
1-May-04,114.625,78.872,76.607,129.285,143.184
1-Jun-04,116.75,78.36,79.549,123.279,136.861
1-Jul-04,120.3,78.662,80.924,104.494,132.387
1-Aug-04,126.75,76.034,80.085,104.093,122.056
1-Sep-04,127.875,74.88,78.1,97.727,126.821
1-Oct-04,119.5,72.696,75.998,93.415,123.056
1-Nov-04,118.375,75.812,74.661,93.759,127.133
1-Dec-04,116.8,72.179,73.585,95.609,123.555
1-Jan-05,115.25,72.085,73.413,96.039,122.779
1-Feb-05,117.375,69.229,73.75,94.359,123.13
1-Mar-05,120,69.381,73.884,100.014,129.956
1-Apr-05,118.2,68.997,74,96.471,120.064
1-May-05,121.45,74.923,74.292,95.365,119.154
1-Jun-05,120.325,67.325,74.53,97.615,122.473
1-Jul-05,122.6,67.518,74.746,105.664,130.164
1-Aug-05,120,69.713,74.772,99.287,131.558
1-Sep-05,120.3,67.534,75.182,97.071,137.386
1-Oct-05,116.5,64.876,74.389,101.551,143.073
1-Nov-05,117.25,59.885,72.742,95.98,136.354
1-Dec-05,115.5,60.604,71.174,102.676,139.993
1-Jan-06,113.625,55.841,69.864,102.79,144.568
1-Feb-06,114.75,58.432,69.158,106.937,158.887
1-Mar-06,111.9,58.505,68.29,104.952,155.793
1-Apr-06,112.575,55.964,67.521,107.91,161.208
1-May-06,112.5,66.225,67.902,110.625,176.603
1-Jun-06,111.7,74.38,68.973,109.612,176.921
1-Jul-06,115.125,70.1,69.901,114.306,181.348
1-Aug-06,117.625,71.93,70.431,115.277,165.129
1-Sep-06,117.5,67.907,70.698,120.27,164.942
1-Oct-06,117.875,64.32,69.633,142.262,182.432
1-Nov-06,121.25,62.12,69.011,164.106,182.301
1-Dec-06,121.2,60.587,69.417,160.721,179.53
1-Jan-07,119.25,59.543,71.264,165.16,172.567
1-Feb-07,118.375,65.677,73.858,177.385,175.267
1-Mar-07,118.4,61.535,76.307,169.583,173.313
1-Apr-07,117.625,65.42,78.083,152.631,178.556
1-May-07,116.625,73.51,79.652,160.139,178.006
1-Jun-07,119,74.065,80.758,164.537,206.517
1-Jul-07,117.5,70.812,81.161,147.216,222.002
1-Aug-07,118.4,70.357,81.272,151.031,240.687
1-Sep-07,118.25,63.152,81.563,160.125,297.952
1-Oct-07,115.875,56.695,79.754,164.114,303.63
1-Nov-07,117.66,49.949,77.795,171.114,286.496
1-Dec-07,119.5,53.277,76.849,180.283,339.226
1-Jan-08,121.325,49.761,77.283,206.559,336.117
1-Feb-08,127.7,57.856,79.222,220.048,393.874
1-Mar-08,106.7,53.24,81.222,233.926,403.813
1-Apr-08,103.75,61.151,82.03,246.642,326.852
1-May-08,124.2,78.112,83.508,243.532,288.42
1-Jun-08,129.5,73.895,85.696,287.132,314.158
1-Jul-08,133,76.076,88.138,267.141,299.427
1-Aug-08,135.5,84.562,88.546,235.159,304.164
1-Sep-08,129.4,71.162,88.383,233.946,263.05
1-Oct-08,115.917,63.672,87.543,183.025,202.775
1-Nov-08,115,52.604,86.906,164.304,194.115
1-Dec-08,111.25,53.699,87.022,158.91,188.845
1-Jan-09,114.125,55.993,87.242,173.295,211.276
1-Feb-09,107.125,57.371,86.698,163.4,195.225
1-Mar-09,112.375,57.352,85.727,164.577,199.101
1-Apr-09,115.5,57.833,85.67,168.796,200.888
1-May-09,119.6,58.531,86.988,180.07,227.186
1-Jun-09,122.125,57.051,88.125,179.394,227.315
1-Jul-09,124,57.846,88.587,151.8,195.326
1-Aug-09,124,49.562,86.905,152.036,179.554
1-Sep-09,124.125,50.562,84.966,150.593,156.93
1-Oct-09,120.5,50.898,82.875,167.279,163.726
1-Nov-09,125,54.128,82.139,171.687,177.607
1-Dec-09,127,61.848,82.156,164.613,171.155
1-Jan-10,133.875,67.34,82.99,167.336,167.822
1-Feb-10,141.75,66.184,83.25,161.907,160.162
1-Mar-10,152.1,70.926,83.957,158.928,156.464
1-Apr-10,164.75,77.573,85.239,157.267,156.825
1-May-10,157.75,85.284,86.476,163.24,158.328
1-Jun-10,144.806,78.715,87.17,152.874,149.213
1-Jul-10,145.386,78.796,87.822,163.922,182.739
1-Aug-10,152.5,83.151,87.792,175.6,219.877
1-Sep-10,152.5,81.935,87.746,205.84,240.432
1-Oct-10,154.75,71.151,86.718,235.703,234.6
1-Nov-10,156.5,63.48,85.727,238.237,241.84
1-Dec-10,173.028,68.814,85.328,250.626,274.457
1-Jan-11,185.625,75.042,85,265.286,295.989
1-Feb-11,183.725,83.219,85.263,293.397,317.601
1-Mar-11,187.717,84.638,86.058,290.435,285.376
1-Apr-11,193,92.058,86.409,318.939,307.254
1-May-11,184.114,92.449,86.561,308.575,307.195
1-Jun-11,178.364,94.545,86.947,310.536,285.298
1-Jul-11,177.762,96.915,87.337,300.832,271.462
1-Aug-11,180.848,103.025,88.123,310.307,288.688
1-Sep-11,175.932,88.554,88.97,296.299,272.341
1-Oct-11,174.281,92.478,89,274.846,251.589
1-Nov-11,186.682,85.703,89.214,274.278,244.538
1-Dec-11,190.091,83.758,89.828,258.518,236.06
1-Jan-12,190.932,84.126,90.371,272.92,243.702
1-Feb-12,194.095,86.405,91.198,279.514,245.98
1-Mar-12,194.364,84.69,92.765,280.715,243.494
1-Apr-12,192.095,79.853,93.258,274.219,228.086
1-May-12,187.304,79.152,94.076,268.885,228.88
1-Jun-12,183.595,91.872,94.5,267.329,241.966
1-Jul-12,180.364,94.47,94.722,332.999,310.746
1-Aug-12,183.13,86.379,95.022,332.233,315.548
1-Sep-12,180.25,68.768,95.646,320.706,316.653
1-Oct-12,181.543,79.715,95.841,321.382,318.408
1-Nov-12,192.023,77.898,96.621,321.597,319.46
1-Dec-12,195.619,80.019,97.679,308.75,303.039
1-Jan-13,195.391,82.79,99.091,303.36,288.21
1-Feb-13,194.275,83.076,100.208,302.61,271.679
1-Mar-13,191.786,73.357,101.472,309.579,263.342
1-Apr-13,191.682,77.946,102.617,279.765,264.17
1-May-13,179.587,89.166,104.163,295.369,276.045
1-Jun-13,174.25,98.1,105.542,297.112,266.851
1-Jul-13,176.583,98.447,106.409,279.013,257.473
1-Aug-13,176.265,96.121,106.5,234.939,258.926
1-Sep-13,175.595,91.728,106.198,207.49,257.5
1-Oct-13,178.065,87.755,105.278,201.78,278.15
1-Nov-13,183.31,81.499,104.665,199.182,259.778
1-Dec-13,185.955,78.57,104.25,197.553,246.113
1-Jan-14,187.457,78.852,104.395,198.772,229.98
1-Feb-14,190.25,86.352,104.5,209.356,242.798
1-Mar-14,197.762,113.213,105.234,222.393,275.612
1-Apr-14,191.227,120.335,107.091,222.43,276.382
1-May-14,194.545,110.469,108.689,216.975,287.913
1-Jun-14,200.786,115.275,110.869,202.634,261.65
1-Jul-14,227.5,128.668,112.529,182.295,238.55
1-Aug-14,258.857,109.198,112.79,176.482,229.158
1-Sep-14,272.295,100.532,113.523,163.134,211.171
1-Oct-14,266.935,101.9,113.895,163.378,210.725
1-Nov-14,261.5,86.159,113.938,178.709,215.988
1-Dec-14,239.587,82.815,113.768,178.713,234.859
1-Jan-15,232.023,72.996,114.091,174.795,213.021
1-Feb-15,209.875,61.837,113.771,173.759,201.742
1-Mar-15,207.795,61.706,114.273,174.294,202.691
1-Apr-15,214.432,60.983,114.973,172.152,195.931
1-May-15,199.214,77.32,115.968,166.35,193.217
1-Jun-15,195.045,77.35,116.004,166.814,199.835
1-Jul-15,204.413,75.925,115.924,179.609,199.217
1-Aug-15,212,75.575,115.44,162.741,173.518
1-Sep-15,202.409,69.843,114.998,166.078,164.069
1-Oct-15,184.545,71.235,114.307,171.449,165.451
1-Nov-15,177.071,57.034,113.349,166.092,157.804
1-Dec-15,167.109,53.109,113.062,164.004,163.893
1-Jan-16,159.071,54.511,112.544,161.099,164.612
1-Feb-16,171.31,62.944,112.107,159.717,159.284
1-Mar-16,176.196,63.434,111.562,159.227,164.06
1-Apr-16,176.905,64.812,111.56,164.465,163.387
1-May-16,179.455,73.991,111.981,169.002,157.56
1-Jun-16,181.455,79.053,111.86,179.913,156.695
1-Jul-16,187.738,76.012,111.452,161.823,133.71
1-Aug-16,185.609,65.156,111.027,150.215,127.9
1-Sep-16,182.886,58.715,110.378,148.512,123.249
1-Oct-16,180.762,50.229,110.13,152.617,122.559
1-Nov-16,183.136,46.611,109.852,151.331,122.55
1-Dec-16,173.977,53.448,112.714,152.73,122.846
1-Jan-17,176.773,61.373,114.825,160.012,137.146
1-Feb-17,184.6,71.769,114.498,162.963,147.361
1-Mar-17,190.174,68.394,124.664,158.979,146.431
1-Apr-17,192.875,59.613,130.696,156.54,138.408
1-May-17,200.413,68.251,144.708,158.6,146.44
1-Jun-17,206.159,82.054,147.412,157.974,157.246
1-Jul-17,205.452,88.065,138.828,157.611,174.532
1-Aug-17,189.043,78.575,124.843,148.543,139.051
1-Sep-17,188.69,58.945,119.487,147.316,138.413
1-Oct-17,189.477,59.118,114.255,148.722,133.345
1-Nov-17,190.136,62.859,115.695,148.792,138.046
1-Dec-17,184.333,60.544,117.42,149.087,147.103
1-Jan-18,188.043,68.198,126.697,155.917,156.388
1-Feb-18,194.825,69.577,122.39,163.461,172.289
1-Mar-18,193.909,61.415,135.775,172.077,180.919
1-Apr-18,190.81,53.973,146.529,175.601,180.376
1-May-18,188,63.421,158.222,179.179,192.704
1-Jun-18,185.548,77.394,159.948,165.14,193.079
1-Jul-18,182.864,74.874,146.973,156.554,196.806
1-Aug-18,179.978,51.516,116.528,162.522,211.292
1-Sep-18,176.125,52.123,111.77,154.945,191.144
1-Oct-18,168.37,64.291,112.258,160.366,188.462
1-Nov-18,171.023,57.036,116.626,160.878,181.552
1-Dec-18,183.19,52.226,121.933,167.49,188.536
1-Jan-19,185.957,54.803,133.153,166.846,188.845
1-Feb-19,188.6,52.64,121.03,169.656,177.917
1-Mar-19,194.357,57.12,125.101,166.321,164.507
1-Apr-19,208.295,77.996,131.563,161.653,159.03
1-May-19,200.326,80.625,135.679,171.18,158.282
1-Jun-19,202.625,76.432,127.207,195.168,174.698
1-Jul-19,204.652,71.934,119.458,189.486,163.877
1-Aug-19,204.227,75.166,108.855,163.629,149.363
1-Sep-19,205.619,56.393,103.596,157.374,146.57
1-Oct-19,212.804,60.424,105.916,167.298,153.221
1-Nov-19,258.333,57.335,105.428,166.362,157.528
1-Dec-19,250.568,57.233,114.514,167.059,165.255
1-Jan-20,212.5,58.68,121.709,171.814,178.242
1-Feb-20,206.875,54.881,108.426,168.745,172.231
1-Feb-20,192.386,58.758,110.497,162.179,170.875
